Country,Data source,Sector,Gas,Unit,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
World,CAIT,Electricity/Heat,All GHG,MtCO₂e,15834.64,15875.48,15416.96,15081.51,15059.71,15336.57,15390.22,15120.13,14819.52,14211.19,13313.89,13527.5,13499.99,12930.23,12435.52,12058.35,11670.52,11048.99,10861.04,10597.94,10172.97,10123.51,9895.91,9624.07,9268.36,9074.97,8978.95,8929.03,8768.7,8627.95
China,CAIT,Electricity/Heat,All GHG,MtCO₂e,5616.35,5405.58,5060.66,4721.35,4616.44,4712.49,4766.22,4472.58,4345.31,3850.79,3472.68,3224.17,3186.52,2912.66,2565.02,2387.6,2189.25,1849.39,1669.17,1582.82,1439.69,1416.39,1334.53,1336.76,1191.43,1088.0,1002.36,881.91,798.08,728.78
United States,CAIT,Electricity/Heat,All GHG,MtCO₂e,1965.56,2105.01,2072.96,2154.19,2243.24,2386.49,2388.77,2370.17,2499.53,2620.93,2499.98,2731.6,2801.71,2734.98,2803.76,2754.54,2720.1,2692.12,2825.56,2814.15,2782.07,2814.45,2756.79,2517.46,2436.26,2373.44,2348.06,2289.28,2191.74,2171.63
India,CAIT,Electricity/Heat,All GHG,MtCO₂e,1244.78,1263.02,1161.63,1102.44,1108.95,1129.4,1011.33,994.24,864.63,823.81,793.39,725.4,706.68,642.4,602.38,587.43,538.83,515.89,507.63,493.44,461.71,420.03,403.92,389.9,366.55,321.31,308.2,279.84,260.14,232.96
European Union (27),CAIT,Electricity/Heat,All GHG,MtCO₂e,992.76,1110.55,1171.75,1165.28,1187.06,1163.32,1232.52,1300.39,1320.12,1338.38,1301.06,1414.7,1490.32,1464.51,1449.69,1456.37,1457.13,1411.98,1388.89,1370.43,1351.12,1388.02,1386.72,1426.96,1398.71,1383.49,1382.61,1432.46,1463.74,1471.48
Russia,CAIT,Electricity/Heat,All GHG,MtCO₂e,871.7,861.48,838.1,841.42,880.75,909.62,971.85,1010.34,1017.71,958.42,893.7,964.05,968.12,997.39,950.36,945.69,959.36,936.51,931.84,932.88,920.04,909.79,913.01,984.75,960.69,1017.63,1104.86,1222.2,1265.21,1235.01
Japan,CAIT,Electricity/Heat,All GHG,MtCO₂e,545.21,567.47,595.18,611.14,610.99,636.3,663.15,657.07,607.64,549.21,504.34,534.11,558.44,506.13,518.61,515.24,519.11,499.42,467.64,476.13,466.22,443.44,460.68,465.93,460.2,471.6,429.89,446.15,440.8,440.15
South Korea,CAIT,Electricity/Heat,All GHG,MtCO₂e,360.26,375.11,366.55,357.98,352.59,344.79,347.19,352.05,347.86,324.05,289.81,269.02,255.1,237.53,229.44,224.86,196.7,191.91,199.73,184.58,142.8,134.8,152.24,133.47,120.86,109.12,97.65,88.34,76.54,65.05
South Africa,CAIT,Electricity/Heat,All GHG,MtCO₂e,290.29,283.6,286.0,292.38,286.34,305.52,294.04,296.06,288.7,304.01,257.7,294.88,266.91,253.62,252.26,262.48,246.9,231.7,228.45,192.89,185.33,195.36,188.27,178.3,170.31,162.21,158.29,148.41,146.09,146.55
Germany,CAIT,Electricity/Heat,All GHG,MtCO₂e,263.44,312.22,329.67,347.97,348.31,352.34,371.86,367.25,356.24,363.66,345.0,373.01,394.59,381.45,377.65,381.25,385.96,380.43,378.92,365.66,360.66,375.82,375.81,391.75,381.06,386.63,386.09,394.43,411.11,413.56
Saudi Arabia,CAIT,Electricity/Heat,All GHG,MtCO₂e,263.07,262.08,276.47,271.71,261.59,250.67,238.29,232.75,203.03,198.06,182.93,172.56,158.21,157.91,150.8,140.69,132.04,125.64,120.2,117.71,112.76,110.37,103.26,97.82,94.79,91.29,89.27,81.37,74.82,71.15
Indonesia,CAIT,Electricity/Heat,All GHG,MtCO₂e,258.23,246.21,219.2,207.25,196.26,194.49,168.81,169.41,176.67,149.51,153.78,153.06,139.15,130.61,124.52,120.04,121.85,109.58,100.32,89.63,95.85,98.83,88.99,77.71,74.44,64.05,62.85,56.31,54.22,47.87
Australia,CAIT,Electricity/Heat,All GHG,MtCO₂e,222.02,222.29,228.18,226.6,220.47,213.67,223.54,231.7,234.22,240.95,247.43,237.45,237.59,230.47,225.64,220.54,210.86,219.69,205.18,197.77,195.01,191.19,170.89,166.65,158.78,152.54,149.8,148.37,145.94,143.47
Canada,CAIT,Electricity/Heat,All GHG,MtCO₂e,212.54,211.44,212.76,213.3,216.88,216.72,214.17,211.12,209.69,208.53,202.51,213.68,229.28,211.42,212.6,192.73,204.08,194.43,195.06,189.83,177.96,176.31,161.91,149.22,147.93,142.58,137.98,146.34,139.3,138.62
Iran,CAIT,Electricity/Heat,All GHG,MtCO₂e,203.17,206.27,206.8,191.0,192.67,191.39,187.74,178.13,171.33,164.16,162.36,157.78,145.32,137.67,130.69,118.92,107.5,102.82,97.13,91.22,89.57,70.66,68.88,64.99,61.74,57.92,54.44,45.98,45.0,41.96
Mexico,CAIT,Electricity/Heat,All GHG,MtCO₂e,186.62,189.62,195.26,197.28,194.14,192.58,202.09,212.86,205.08,195.88,194.1,186.86,194.26,191.09,192.13,185.11,186.86,175.16,173.09,168.89,153.2,159.26,141.91,127.72,122.31,130.86,114.54,107.91,106.93,94.51
Vietnam,CAIT,Electricity/Heat,All GHG,MtCO₂e,155.23,121.27,93.62,97.48,71.37,53.2,44.61,41.61,40.41,41.63,32.46,30.27,29.01,26.76,24.36,20.59,15.84,15.63,12.41,11.53,9.67,10.52,8.16,5.65,4.51,3.74,2.8,3.06,3.65,4.9
Turkey,CAIT,Electricity/Heat,All GHG,MtCO₂e,149.88,159.61,159.03,147.02,134.24,139.03,121.35,127.29,123.49,113.08,112.53,114.53,106.97,90.46,81.39,73.94,72.52,71.76,76.84,75.21,72.14,67.88,63.41,57.84,52.03,50.74,45.25,44.86,41.63,39.57
Poland,CAIT,Electricity/Heat,All GHG,MtCO₂e,146.08,158.23,160.16,158.65,158.97,156.26,165.92,165.48,170.41,169.74,163.86,171.29,176.3,179.71,174.09,175.36,177.03,168.7,174.73,173.03,175.57,181.09,187.54,193.48,186.69,201.41,202.26,215.42,224.02,229.96
Malaysia,CAIT,Electricity/Heat,All GHG,MtCO₂e,130.03,125.77,109.77,118.9,123.94,119.54,114.16,109.23,110.86,106.84,92.19,97.5,86.52,79.81,75.57,68.18,61.24,57.81,54.95,52.79,48.74,44.96,42.11,38.35,34.79,31.5,29.88,26.17,26.53,19.04
Kazakhstan,CAIT,Electricity/Heat,All GHG,MtCO₂e,116.31,120.2,115.96,106.06,94.55,105.2,142.69,131.54,126.99,124.07,113.71,122.76,115.7,119.15,99.54,97.49,93.72,85.91,67.74,71.7,59.04,61.43,59.85,72.82,80.46,105.66,102.87,112.44,114.67,115.75
Egypt,CAIT,Electricity/Heat,All GHG,MtCO₂e,112.89,108.79,106.3,99.34,96.97,92.34,88.29,87.83,81.55,77.99,78.93,74.87,67.69,66.41,63.7,59.17,46.96,41.93,39.47,34.5,36.75,34.76,30.65,28.1,27.42,26.88,27.52,27.69,26.97,25.42
Thailand,CAIT,Electricity/Heat,All GHG,MtCO₂e,109.44,106.39,104.94,111.68,110.91,114.17,115.5,106.6,98.14,98.43,88.96,99.61,96.45,86.62,84.9,79.94,72.66,69.86,67.73,64.45,62.42,62.62,65.29,60.77,53.04,48.47,43.94,40.6,37.21,30.83
Italy,CAIT,Electricity/Heat,All GHG,MtCO₂e,108.97,113.94,121.75,118.76,121.49,114.35,123.23,144.65,152.63,153.7,147.92,174.14,180.07,180.32,178.35,178.93,165.03,159.38,149.66,153.32,147.85,151.96,148.07,145.84,150.49,137.89,135.29,138.67,139.43,143.88
United Kingdom,CAIT,Electricity/Heat,All GHG,MtCO₂e,99.3,107.33,114.36,126.66,151.17,171.72,196.81,212.52,198.19,209.85,204.79,232.8,243.16,249.57,244.11,240.21,242.3,230.86,235.41,226.36,215.79,216.77,211.71,224.13,216.88,219.46,225.33,246.77,247.3,249.0
Brazil,CAIT,Electricity/Heat,All GHG,MtCO₂e,94.53,93.35,102.71,99.43,124.12,129.19,110.03,84.59,65.39,71.95,59.7,71.16,59.4,59.99,59.68,57.42,51.71,51.38,55.98,51.11,46.43,39.86,39.15,34.78,32.29,30.77,30.95,30.63,28.86,28.8
Iraq,CAIT,Electricity/Heat,All GHG,MtCO₂e,83.44,75.01,73.34,65.49,60.92,62.33,54.8,43.13,43.15,42.85,34.08,28.92,17.92,25.34,28.4,34.14,33.39,32.47,35.51,28.83,18.93,41.38,70.54,53.04,53.87,54.9,46.69,29.75,14.3,16.72
Ukraine,CAIT,Electricity/Heat,All GHG,MtCO₂e,83.43,91.32,86.62,105.73,94.93,116.36,137.25,140.79,138.25,130.07,120.74,137.3,140.01,138.73,138.98,128.91,154.84,135.7,135.9,140.56,145.35,147.61,153.63,165.45,204.75,221.07,260.95,273.81,320.48,358.3
Spain,CAIT,Electricity/Heat,All GHG,MtCO₂e,75.27,90.41,100.64,88.33,102.45,88.83,87.87,111.46,103.39,90.06,105.36,122.03,138.61,130.84,132.58,123.03,114.34,119.18,104.03,111.32,107.13,88.94,89.55,77.14,89.66,80.49,78.55,89.19,79.54,78.34
Philippines,CAIT,Electricity/Heat,All GHG,MtCO₂e,72.89,67.03,61.22,53.6,49.69,45.83,42.66,37.01,34.59,33.55,30.2,30.08,27.71,25.63,29.76,26.97,26.17,23.82,24.32,24.52,20.46,23.05,21.87,19.73,17.63,15.2,13.33,13.22,12.33,10.94
United Arab Emirates,CAIT,Electricity/Heat,All GHG,MtCO₂e,72.52,73.37,74.3,72.77,72.55,67.91,64.74,64.46,62.24,60.97,59.42,68.34,57.14,57.07,53.47,50.08,42.01,38.01,34.39,31.02,28.17,25.56,23.24,21.5,20.17,18.85,17.16,14.9,13.9,13.63
Netherlands,CAIT,Electricity/Heat,All GHG,MtCO₂e,61.55,63.98,68.19,71.76,73.18,68.47,65.2,65.22,68.06,71.39,68.44,69.94,70.89,66.43,71.52,74.06,72.48,71.24,70.31,67.21,65.67,70.84,68.41,67.03,65.94,60.6,57.4,55.38,54.8,52.98
Kuwait,CAIT,Electricity/Heat,All GHG,MtCO₂e,61.13,60.62,59.61,61.37,60.53,58.28,58.01,57.53,55.46,53.62,52.03,51.47,48.61,47.14,44.75,40.95,37.16,38.11,36.15,31.89,30.52,25.86,22.08,20.83,20.47,20.94,15.95,11.84,4.6,20.55
Argentina,CAIT,Electricity/Heat,All GHG,MtCO₂e,56.79,64.21,68.33,71.28,69.88,67.09,65.09,67.68,64.63,59.52,57.29,59.17,54.46,53.92,50.61,48.76,41.9,37.34,40.17,42.26,42.85,38.02,33.05,33.25,29.28,30.31,30.54,31.28,32.46,29.08
France,CAIT,Electricity/Heat,All GHG,MtCO₂e,56.47,59.38,62.63,53.74,52.97,49.89,63.98,66.79,64.99,74.85,73.16,75.37,78.88,77.13,81.31,75.28,75.61,72.93,70.18,77.58,74.53,80.44,65.81,70.33,66.57,61.63,61.74,74.61,86.23,75.16
Uzbekistan,CAIT,Electricity/Heat,All GHG,MtCO₂e,55.99,52.94,48.59,47.72,46.29,46.52,46.29,44.19,44.8,42.32,42.38,44.93,42.39,43.75,39.18,43.25,40.28,43.31,43.15,43.49,39.79,41.37,38.33,38.04,35.82,41.82,47.19,48.33,47.3,47.3
Qatar,CAIT,Electricity/Heat,All GHG,MtCO₂e,55.14,53.7,53.01,51.88,51.15,49.45,48.04,47.32,44.47,36.31,30.25,28.1,27.19,24.81,20.8,18.9,17.95,16.03,14.8,13.84,16.04,13.81,12.8,11.62,11.05,10.54,9.96,9.35,8.94,7.75
Czech Republic,CAIT,Electricity/Heat,All GHG,MtCO₂e,52.39,56.23,56.8,58.33,56.83,56.57,59.04,62.92,65.39,66.74,63.12,68.35,73.12,67.86,67.92,69.83,69.72,68.86,70.42,69.95,63.26,67.81,71.01,71.61,69.12,65.24,65.45,64.65,66.58,67.92
Algeria,CAIT,Electricity/Heat,All GHG,MtCO₂e,50.09,48.61,48.14,47.92,49.82,47.91,43.01,43.51,39.35,36.48,36.71,35.32,33.99,34.28,32.64,31.78,32.57,32.32,30.23,29.2,29.35,27.8,27.74,25.77,25.9,24.98,25.31,24.09,24.11,23.13
Pakistan,CAIT,Electricity/Heat,All GHG,MtCO₂e,48.62,46.77,56.08,49.51,45.26,45.07,44.66,41.58,40.28,41.45,45.53,43.33,43.48,42.61,37.49,35.89,31.69,35.36,35.5,34.53,33.09,28.51,29.68,27.46,26.7,23.5,22.55,20.4,17.72,16.05
Venezuela,CAIT,Electricity/Heat,All GHG,MtCO₂e,47.58,57.4,63.1,66.07,69.98,65.83,64.12,63.14,58.71,64.33,66.15,66.74,61.46,60.39,59.6,59.85,59.44,60.0,58.61,56.81,51.63,50.3,49.65,43.16,39.23,37.9,37.41,36.72,32.99,36.53
Chile,CAIT,Electricity/Heat,All GHG,MtCO₂e,40.05,35.52,37.03,37.63,35.77,32.9,38.95,37.41,32.64,27.59,27.13,29.0,26.5,20.97,20.93,20.96,17.25,15.84,14.73,16.63,21.28,18.72,15.85,13.99,10.14,9.27,7.21,7.12,8.38,10.66
Bangladesh,CAIT,Electricity/Heat,All GHG,MtCO₂e,39.54,38.93,37.1,36.31,33.66,32.94,31.11,28.28,25.75,24.28,21.43,19.79,18.11,17.03,14.79,13.66,11.6,11.53,10.74,9.02,8.81,7.82,7.18,6.73,6.73,6.1,5.8,5.21,4.6,4.46
Israel,CAIT,Electricity/Heat,All GHG,MtCO₂e,36.55,35.7,39.36,39.96,40.98,40.24,43.07,51.23,46.24,44.22,41.23,43.63,44.5,42.91,40.61,41.15,41.24,40.47,37.48,36.19,33.31,32.43,31.27,29.04,27.46,26.18,24.49,22.97,20.2,19.85
Serbia,CAIT,Electricity/Heat,All GHG,MtCO₂e,32.49,32.44,33.97,33.37,33.19,26.53,33.22,31.65,34.79,31.63,32.43,30.66,31.4,35.01,33.15,35.92,34.83,33.28,31.76,32.22,28.6,38.23,38.58,35.6,36.57,28.92,31.62,34.36,36.03,40.59
Belarus,CAIT,Electricity/Heat,All GHG,MtCO₂e,32.07,33.27,31.02,30.88,31.3,32.98,32.85,33.24,33.51,37.38,34.6,35.9,34.92,36.83,36.14,36.79,34.09,34.02,34.41,34.39,35.18,36.06,38.03,36.46,36.78,42.38,46.36,54.8,58.9,62.39
Morocco,CAIT,Electricity/Heat,All GHG,MtCO₂e,28.84,23.41,22.62,21.7,22.33,21.69,19.17,20.63,20.06,17.83,15.92,16.99,16.8,17.07,16.93,16.01,14.58,14.12,13.29,11.29,11.05,10.67,10.68,10.0,11.74,10.25,9.29,8.45,7.87,7.95
Greece,CAIT,Electricity/Heat,All GHG,MtCO₂e,28.57,33.98,34.83,33.18,34.71,38.27,41.67,46.02,45.41,45.42,48.49,51.42,52.34,49.03,50.82,50.1,49.33,48.25,48.38,47.93,41.98,40.61,39.17,39.17,42.32,40.59,39.06,39.03,36.49,37.25
Romania,CAIT,Electricity/Heat,All GHG,MtCO₂e,27.54,29.93,30.91,30.41,32.36,31.44,32.3,39.93,43.86,38.88,40.78,48.28,49.33,50.73,47.3,48.11,52.7,49.88,52.42,49.61,47.25,55.15,63.52,71.8,69.9,69.85,82.33,85.56,68.41,79.65
Bahrain,CAIT,Electricity/Heat,All GHG,MtCO₂e,26.44,23.92,23.89,23.66,24.19,23.92,23.0,22.27,21.62,21.48,20.92,21.07,19.64,19.38,17.68,15.32,15.65,15.1,14.46,14.07,13.72,13.64,12.73,12.61,12.04,11.93,11.65,10.9,9.12,9.54
Singapore,CAIT,Electricity/Heat,All GHG,MtCO₂e,26.14,26.05,26.15,25.42,24.89,24.56,25.14,25.95,26.69,25.32,23.0,25.84,26.05,25.54,25.68,28.88,27.98,31.75,32.77,33.14,31.84,31.11,32.0,32.48,30.95,31.65,30.31,25.56,23.97,23.22
Turkmenistan,CAIT,Electricity/Heat,All GHG,MtCO₂e,25.93,25.94,25.95,25.98,26.0,24.03,23.64,23.34,22.71,21.6,18.74,22.29,21.11,19.37,18.62,17.35,16.0,15.32,14.98,14.14,11.42,9.36,9.83,9.6,11.83,11.23,8.31,5.91,11.69,13.08
Nigeria,CAIT,Electricity/Heat,All GHG,MtCO₂e,25.47,25.91,25.61,27.3,25.94,26.32,24.1,23.67,22.03,19.04,15.36,17.28,17.06,16.76,16.93,15.51,13.2,14.99,14.08,13.74,12.54,11.41,12.11,11.62,10.88,10.53,11.69,11.46,9.7,8.26
Oman,CAIT,Electricity/Heat,All GHG,MtCO₂e,24.38,25.34,25.13,23.85,23.96,22.87,21.8,21.42,20.39,19.24,18.73,17.27,16.66,16.41,15.29,16.49,15.43,15.02,14.45,13.31,10.79,9.93,9.44,8.86,8.49,7.11,6.51,6.06,5.89,5.75
Libya,CAIT,Electricity/Heat,All GHG,MtCO₂e,24.19,24.54,23.5,21.55,26.03,25.55,27.66,26.03,19.31,26.74,26.25,25.71,24.96,26.3,24.85,21.5,22.37,20.77,19.61,19.42,18.8,18.05,17.15,17.3,17.12,14.39,12.03,11.82,11.89,11.71
